operation,c2c_super_admin,c2c_viewer,c2c_client_viewer,c2c_client_admin,c2c_est_viewer,c2c_est_admin,c2c_pricing_viewer,c2c_pricing_admin,c2c_sow_viewer,c2c_sow_admin,c2c_milestone_viewer,c2c_milestone_admin,c2c_po_viewer,c2c_po_admin,c2c_allocation_viewer,c2c_allocation_admin,c2c_invoice_viewer,c2c_invoice_admin,c2c_dashboard_viewer,c2c_timesheet_employee,c2c_timesheet_manager,c2c_resource_viewer,c2c_timesheet_export_user,c2c_guest_employee
client_view,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,
client_admin,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,
estimation_view,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
estimation_admin,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,
pricing_view,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,
pricing_admin,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,
contract_view,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,
contract_admin,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,
milestone_view,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,
milestone_admin,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,
purchase_order_view,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,
purchase_order_admin,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,
allocation_view,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
allocation_admin,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,
invoice_view,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,
invoice_admin,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,
dashboard_view,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,
timesheet_view,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
timesheet_manager,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,
resource_view,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,
timesheet_export,,,,,,,,,,,,,,,,,,,,,,,TRUE,
